"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.000,1.23,,,0.000,1.34,,,0.000,1.32,,,0.000,1.28,,,0.000,1.18,,,0.000,1.45,,,0.000,1.38,,,0.000,1.33,,,0.000,1.39,,,0.000,1.35,,
0.020,1.21,-0.61,,0.020,1.34,-0.35,,0.020,1.30,-0.12,,0.020,1.28,0.00,,0.020,1.17,-0.87,,0.020,1.43,-0.88,,0.020,1.38,-0.11,,0.020,1.33,0.30,,0.020,1.39,-8.27E-4,,0.020,1.35,0.06,
0.040,1.20,-0.65,-1.85,0.040,1.33,-0.46,-3.63,0.040,1.31,-0.07,-0.57,0.040,1.28,0.20,2.72,0.040,1.15,-0.88,9.01,0.040,1.42,-0.28,21.80,0.040,1.38,-0.07,1.78,0.040,1.35,0.26,-5.64,0.040,1.39,-0.04,-2.27,0.040,1.35,0.02,-2.52
0.060,1.19,-0.68,-1.00,0.060,1.32,-0.50,-1.46,0.060,1.31,-0.14,-4.44,0.060,1.30,0.11,-0.58,0.060,1.13,-0.51,5.23,0.060,1.43,-0.01,7.25,0.060,1.38,-0.04,2.04,0.060,1.35,0.08,-8.04,0.060,1.39,-0.09,-2.15,0.060,1.34,-0.04,-3.46
0.080,1.17,-0.70,-0.07,0.080,1.31,-0.47,-0.73,0.080,1.30,-0.33,-5.40,0.080,1.29,0.10,-2.43,0.080,1.12,-0.46,-2.40,0.080,1.42,-0.08,-1.81,0.080,1.37,0.01,2.82,0.080,1.35,-0.19,-5.48,0.080,1.38,-0.13,-0.97,0.080,1.35,-0.16,-2.35
0.100,1.16,-0.69,0.21,0.100,1.30,-0.52,-1.42,0.100,1.29,-0.39,-4.72,0.100,1.29,0.04,-2.67,0.100,1.14,-0.66,-10.27,0.100,1.43,-0.21,-3.10,0.100,1.37,0.05,3.68,0.100,1.34,-0.22,-0.14,0.100,1.38,-0.16,1.64,0.100,1.34,-0.17,1.35
0.120,1.15,-0.66,-0.58,0.120,1.29,-0.53,-1.46,0.120,1.28,-0.47,-3.89,0.120,1.31,-0.02,-2.74,0.120,1.08,-1.02,-9.19,0.120,1.41,-0.30,0.01,0.120,1.38,0.17,1.82,0.120,1.33,-0.11,3.52,0.120,1.38,-0.08,3.58,0.120,1.33,-0.12,5.18
0.140,1.13,-0.70,-1.42,0.140,1.28,-0.61,-0.26,0.140,1.28,-0.57,-2.74,0.140,1.29,-0.10,-0.03,0.140,1.08,-1.19,-3.51,0.140,1.42,-0.16,-0.33,0.140,1.38,0.23,-2.83,0.140,1.34,-0.02,3.13,0.140,1.37,0.05,2.50,0.140,1.34,0.09,4.47
0.160,1.12,-0.76,-1.32,0.160,1.27,-0.55,0.37,0.160,1.26,-0.62,-0.55,0.160,1.29,-0.10,2.41,0.160,1.05,-1.04,1.86,0.160,1.40,-0.13,-5.08,0.160,1.39,0.04,-6.96,0.160,1.34,0.04,0.24,0.160,1.38,0.08,-1.30,0.160,1.33,0.20,-1.83
0.180,1.10,-0.76,-0.50,0.180,1.25,-0.53,-1.48,0.180,1.25,-0.57,0.37,0.180,1.29,0.12,0.90,0.180,1.03,-1.06,3.43,0.180,1.42,-0.42,-8.81,0.180,1.39,-0.16,-5.07,0.180,1.33,0.01,-4.64,0.180,1.39,-0.02,-3.21,0.180,1.35,0.04,-9.94
