Time (s) Run #1,Time (s) Run #2,Time (s) Run #3,Time (s) Run #4,Time (s) Run #5,Time (s) Run #6,Time (s) Run #7,Time (s) Run #8,Time (s) Run #9,Time (s) Run #10,Position (m) Run #1,Position (m) Run #2,Position (m) Run #3,Position (m) Run #4,Position (m) Run #5,Position (m) Run #6,Position (m) Run #7,Position (m) Run #8,Position (m) Run #9,Position (m) Run #10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,1.31,1.3,1.29,1.12,1.42,1.37,1.35,1.38,1.35
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.16,1.3,1.29,,1.14,1.43,,1.34,,1.34
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1.15,1.29,1.28,1.31,1.08,1.41,1.38,1.33,,1.33
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1.13,1.28,,,,,,,1.37,
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,1.12,1.27,1.26,,1.05,1.4,1.39,,,
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,1.25,1.25,,1.03,,,,1.39,
0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1.09,1.26,1.24,,1.01,1.39,,,,
0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.08,1.23,1.23,1.3,0.99,1.38,,,,
0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,1.06,1.22,1.21,,0.98,1.37,,1.32,,1.32
0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.04,1.19,1.2,1.28,0.96,1.36,,1.3,,1.31
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.03,1.18,1.18,,0.94,1.34,,,,
0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,1.01,1.16,1.17,1.26,0.92,1.32,,1.28,,1.28
0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.99,1.15,1.15,1.25,0.9,,,1.27,1.36,1.27
0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.97,1.13,1.14,1.24,0.88,1.3,,1.25,1.35,1.26
0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.95,1.12,1.12,1.22,0.86,1.28,,1.23,1.33,1.25
0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.93,1.09,1.1,,0.84,1.27,1.35,1.22,1.32,1.23
0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.91,1.08,1.08,1.2,0.82,1.26,1.34,1.21,1.3,1.22
0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.89,1.06,1.06,1.19,0.8,1.24,1.33,1.19,1.29,1.2
0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.87,1.04,1.05,1.17,0.78,1.22,1.32,1.18,1.27,1.19
0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.85,1.03,1.03,,0.76,1.2,1.3,1.16,,1.17
0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.84,1.01,1.01,1.14,0.74,1.19,1.29,1.14,1.25,1.15
0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.82,1.0,0.99,1.13,0.71,1.17,1.28,1.13,1.23,1.12
0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.8,0.97,0.97,1.11,0.69,1.15,1.26,1.11,1.22,1.16
0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.78,0.95,0.95,1.1,0.67,1.14,1.24,1.09,1.2,1.1
0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.76,0.93,0.93,1.08,0.65,1.12,1.23,1.08,1.18,1.08
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.74,0.92,0.91,1.06,0.63,1.1,1.21,1.06,1.17,1.06
0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.72,0.9,0.89,1.05,0.61,1.08,1.19,1.04,1.15,1.04
0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.7,0.88,0.87,1.03,0.59,1.06,1.16,1.03,1.13,1.02
0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.68,0.86,0.85,1.01,0.56,1.05,,1.0,1.1,1.01
0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.66,0.84,0.83,1.0,0.54,1.03,1.14,0.98,1.14,0.99
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.64,0.82,0.8,0.97,0.52,1.01,1.12,0.95,1.08,0.97
0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.8,0.78,0.96,0.5,0.99,1.09,0.94,1.06,0.95
0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.6,0.79,0.76,0.94,0.48,0.97,1.08,0.91,1.03,0.93
0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.58,0.77,0.74,0.92,0.46,0.95,1.06,0.9,1.02,0.91
0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.56,0.75,0.72,0.9,0.43,0.94,1.04,0.88,1.0,0.89
0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.54,0.73,0.7,0.88,0.41,0.92,1.02,0.86,0.98,0.87
0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.52,0.71,0.68,0.86,0.39,0.9,1.0,0.84,0.96,0.85
0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.5,0.69,0.66,0.83,0.37,0.88,0.98,0.82,0.94,0.83
0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.48,0.67,0.63,0.82,0.34,0.86,0.96,0.8,0.92,0.81
0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.46,0.65,0.61,0.8,0.32,0.84,0.95,0.78,0.9,0.8
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.44,0.63,0.59,0.77,0.3,0.82,0.93,0.76,0.89,0.78
0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.41,0.61,0.57,0.75,0.27,0.8,0.91,0.74,,0.76
0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.39,0.59,0.55,0.73,0.25,0.78,0.89,0.72,0.85,0.74
0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.37,0.57,0.52,0.71,0.23,0.77,0.87,0.7,0.82,0.72
0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.35,0.55,0.5,0.69,0.21,0.75,0.85,0.68,0.8,0.7
0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.33,0.53,0.48,0.67,0.18,0.73,0.83,0.66,0.78,0.68
0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.31,0.51,0.46,0.64,0.16,0.71,0.82,0.63,0.76,0.66
0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.28,0.49,0.43,0.62,0.14,0.69,0.81,0.61,0.74,0.64
0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.26,0.47,0.41,0.6,0.12,0.67,0.78,0.59,0.72,0.62
0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.24,0.45,0.39,0.58,,0.65,0.76,0.57,0.7,0.6
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.43,0.37,0.56,,0.63,0.74,0.55,0.67,0.58
1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,0.2,0.4,0.34,0.53,,0.61,0.72,0.53,0.65,0.56
1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,0.18,0.38,0.32,0.51,,0.59,0.7,0.51,0.63,0.54
1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,0.16,0.36,0.3,0.48,,0.57,0.68,0.48,0.61,0.52
1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,0.14,0.34,0.27,0.46,,0.54,0.66,0.46,0.59,0.5
1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,,0.32,0.25,0.44,,0.52,0.64,0.44,0.57,0.48
1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,,0.3,0.23,0.41,,0.5,0.62,0.42,0.55,0.46
1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,,0.28,0.2,0.39,,0.48,0.6,0.4,0.53,0.43
1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,,0.26,0.18,0.37,,0.46,0.59,0.38,0.51,0.41
1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,0.11,0.24,0.16,0.34,1.3,0.44,0.56,0.36,0.49,0.39
1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,,,,,,,,,
1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,,,,
1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,,,,,,,,,,
1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,,,,,,,,,,
